Capacity,BlockSize,Associativity,WriteThrough,WriteAllocate,MissRate,TotalTime
32768,8,16,0,1,0.254696,3327051
32768,8,16,1,0,0.288602,2331851
32768,8,16,1,1,0.254696,2416991
32768,16,16,0,0,0.230157,2197471
32768,16,16,0,1,0.211198,3142651
32768,16,16,1,0,0.230157,2144871
32768,16,16,1,1,0.211198,2224591
32768,32,16,0,0,0.251166,2349971
32768,32,16,0,1,0.234456,3296851
32768,32,16,1,0,0.251166,2261531
32768,32,16,1,1,0.234456,2338591
32768,64,16,0,0,0.219822,2250731
32768,64,16,0,1,0.200923,3194491
32768,64,16,1,0,0.219822,2127471
32768,64,16,1,1,0.200923,2184371
32768,128,16,0,0,0.193499,2133971
32768,128,16,0,1,0.173711,3085451
32768,128,16,1,0,0.193499,2005751
32768,128,16,1,1,0.173711,2058151
32768,256,16,0,0,0.174777,2034291
32768,256,16,0,1,0.149159,2987691
32768,256,16,1,0,0.174777,1916311
32768,256,16,1,1,0.149159,1944271
32768,1,32,0,0,0.288456,2392031
32768,1,32,0,1,0.254244,3325211
32768,1,32,1,0,0.288456,2331211
32768,1,32,1,1,0.254244,2415071
32768,2,32,0,0,0.288456,2392031
32768,2,32,0,1,0.254244,3325211
32768,2,32,1,0,0.288456,2331211
32768,2,32,1,1,0.254244,2415071
32768,4,32,0,0,0.288456,2392031
32768,4,32,0,1,0.254244,3325211
32768,4,32,1,0,0.288456,2331211
32768,4,32,1,1,0.254244,2415071
32768,8,32,0,0,0.288456,2392031
32768,8,32,0,1,0.254244,3325211
32768,8,32,1,0,0.288456,2331211
32768,8,32,1,1,0.254244,2415071
32768,16,32,0,0,0.22854,2190131
32768,16,32,0,1,0.209586,3135091
32768,16,32,1,0,0.22854,2138731
32768,16,32,1,1,0.209586,2217111
32768,32,32,0,0,0.249434,2343191
32768,32,32,0,1,0.234112,3296011
32768,32,32,1,0,0.249434,2256991
32768,32,32,1,1,0.234112,2336951
32768,64,32,0,0,0.220278,2254171
32768,64,32,0,1,0.201719,3198951
32768,64,32,1,0,0.220278,2130191
32768,64,32,1,1,0.201719,2188111
32768,128,32,0,0,0.193078,2132591
32768,128,32,0,1,0.173638,3085391
32768,128,32,1,0,0.193078,2005171
32768,128,32,1,1,0.173638,2057791
32768,256,32,0,0,0.174764,2033871
32768,256,32,0,1,0.149137,2987671
32768,256,32,1,0,0.174764,1916111
32768,256,32,1,1,0.149137,1944131
65536,1,1,0,0,0.286066,2402591
65536,1,1,0,1,0.259085,3339031
65536,1,1,1,0,0.286066,2330431
65536,1,1,1,1,0.259085,2425591
65536,2,1,0,0,0.286066,2402591
65536,2,1,0,1,0.259085,3339031
65536,2,1,1,0,0.286066,2330431
65536,2,1,1,1,0.259085,2425591
65536,4,1,0,0,0.286066,2402591
65536,4,1,0,1,0.259085,3339031
65536,4,1,1,0,0.286066,2330431
65536,4,1,1,1,0.259085,2425591
65536,8,1,0,0,0.286066,2402591
65536,8,1,0,1,0.259085,3339031
65536,8,1,1,0,0.286066,2330431
65536,8,1,1,1,0.259085,2425591
65536,16,1,0,0,0.238755,2270271
65536,16,1,0,1,0.220398,3190611
65536,16,1,1,0,0.238755,2184631
65536,16,1,1,1,0.220398,2253791
65536,32,1,0,0,0.239812,2318311
65536,32,1,0,1,0.221791,3258631
65536,32,1,1,0,0.239812,2215831
65536,32,1,1,1,0.221791,2275731
65536,64,1,0,0,0.193396,2136331
65536,64,1,0,1,0.176054,3082931
65536,64,1,1,0,0.193396,2019611
65536,64,1,1,1,0.176054,2067691
65536,128,1,0,0,0.17255,2050011
65536,128,1,0,1,0.154597,2997071
65536,128,1,1,0,0.17255,1925611
65536,128,1,1,1,0.154597,1968971
65536,256,1,0,0,0.162542,1984031
65536,256,1,0,1,0.138274,2933951
65536,256,1,1,0,0.162542,1871131
65536,256,1,1,1,0.138274,1893451
65536,1,2,0,0,0.270817,2323171
65536,1,2,0,1,0.238802,3268031
65536,1,2,1,0,0.270817,2273451
65536,1,2,1,1,0.238802,2322551
65536,2,2,0,0,0.270817,2323171
65536,2,2,0,1,0.238802,3268031
65536,2,2,1,0,0.270817,2273451
65536,2,2,1,1,0.238802,2322551
65536,4,2,0,0,0.270817,2323171
65536,4,2,0,1,0.238802,3268031
65536,4,2,1,0,0.270817,2273451
65536,4,2,1,1,0.238802,2322551
65536,8,2,0,0,0.270817,2323171
65536,8,2,0,1,0.238802,3268031
65536,8,2,1,0,0.270817,2273451
65536,8,2,1,1,0.238802,2322551
65536,16,2,0,0,0.222492,2184971
65536,16,2,0,1,0.207875,3126651
65536,16,2,1,0,0.222492,2125251
65536,16,2,1,1,0.207875,2196531
65536,32,2,0,0,0.223205,2240451
65536,32,2,0,1,0.210141,3197651
65536,32,2,1,0,0.223205,2160291
65536,32,2,1,1,0.210141,2222331
65536,64,2,0,0,0.180516,2079931
65536,64,2,0,1,0.168216,3041031
65536,64,2,1,0,0.180516,1981711
65536,64,2,1,1,0.168216,2031491
65536,128,2,0,0,0.16209,2009671
65536,128,2,0,1,0.149511,2973351
65536,128,2,1,0,0.16209,1900071
